query,response
headache,"Headache · Headache, also known as cephalalgia, is the symptom of pain in the face, head, or neck. · Headaches can occur as a result of many conditions. There ...
Link: https://en.wikipedia.org/wiki/Headache"
headache,"""Headache"" is a single written and performed by Frank Black. It was the sole single released from his second solo album, Teenager of the Year, released in 1994.
Link: https://en.wikipedia.org/wiki/Headache_(song)"
headache,"Headache (game) · 1 Gameplay and history · 2 Equipment. 2.1 The board; 2.2 Pop-o-matic dice; 2.3 Cones and stacks · 3 References ...
Link: https://en.wikipedia.org/wiki/Headache_(game)"
headache,"Migraine is a genetically-influenced complex neurological disorder characterized by episodes of moderate-to-severe headache, most often unilateral and ...
Link: https://en.wikipedia.org/wiki/Migraine"
headache,"Hypnic headaches are benign primary headaches that affect the elderly, with an average age of onset at 63 ± 11 years. ... They are moderate, throbbing, bilateral ...
Link: https://en.wikipedia.org/wiki/Hypnic_headache"
headache,"Cluster headache is a neurological disorder characterized by recurrent severe headaches on one side of the head, typically around the eye(s). ... There is often ...
Link: https://en.wikipedia.org/wiki/Cluster_headache"
headache,"A medication overuse headache (MOH), also known as a rebound headache, usually occurs when painkillers are taken frequently to relieve headaches. ... These cases ...
Link: https://en.wikipedia.org/wiki/Medication_overuse_headache"
headache,"Tension headache ... Tension headache, stress headache, or tension-type headache (TTH), is the most common type of primary headache. The pain usually radiates ...
Link: https://en.wikipedia.org/wiki/Tension_headache"
headache,"Headache (journal) ... Headache: The Journal of Head and Face Pain is a peer-reviewed medical journal covering all aspects of head and face pain. It is the ...
Link: https://en.wikipedia.org/wiki/Headache_(journal)"
headache,"Tense Nervous Headache ... Tense Nervous Headache is the second solo studio album by English singer Boy George, released in October 1988 by Virgin Records. While ...
Link: https://en.wikipedia.org/wiki/Tense_Nervous_Headache"
cough,"Cough · A cough is a sudden expulsion of air through the large breathing passages which can help clear them of fluids, irritants, foreign particles and microbes ...
Link: https://en.wikipedia.org/wiki/Cough"
cough,"Whooping cough ... Whooping cough (/ˈhuːpɪŋ/ or /ˈwuːpɪŋ/), also known as pertussis or the 100-day cough, is a highly contagious, vaccine-preventable bacterial ...
Link: https://en.wikipedia.org/wiki/Whooping_cough"
cough,"Cough medicine often contains cough suppressants and expectorants. Other names, Cough and cold medicine, cough syrup, lin, lean. [edit on Wikidata]. While they ...
Link: https://en.wikipedia.org/wiki/Cold_medicine"
cough,"Diagnosis · Upper airway cough syndrome is the most common cause of chronic coughing. It is diagnosed when the secretion of excess mucus from the nose or sinus ...
Link: https://en.wikipedia.org/wiki/Chronic_cough"
cough,"Cough Cough ... ""Cough Cough"" is a song from British indie pop band Everything Everything. The track was released in the United Kingdom on 14 October 2012 as the ...
Link: https://en.wikipedia.org/wiki/Cough_Cough"
cough,"Lean or purple drank is a polysubstance drink used as a recreational drug. It is prepared by mixing prescription-grade cough or cold syrup containing an ...
Link: https://en.wikipedia.org/wiki/Lean_(drug)"
cough,"Cough reflex ... The cough reflex occurs when stimulation of cough receptors in the respiratory tract by dust or other foreign particles produces a cough, which ...
Link: https://en.wikipedia.org/wiki/Cough_reflex"
cough,"cough drop, sore throat sweet, troche, cachou, pastille or cough sweet) is a small, typically medicated tablet intended to be dissolved slowly in the mouth ...
Link: https://en.wikipedia.org/wiki/Throat_lozenge"
cough,"""Cough/Cool"" is the first single released by the horror punk band the Misfits. It was released in August 1977 on singer Glenn Danzig's label Blank Records.
Link: https://en.wikipedia.org/wiki/Cough/Cool"
cough,"Kennel cough is so named because the infection can spread quickly among dogs in the close quarters of a kennel or animal shelter.
Link: https://en.wikipedia.org/wiki/Kennel_cough"
malaria,"Human malaria causes symptoms that typically include fever, fatigue, vomiting, and headaches. [1] [8] In severe cases, it can cause jaundice, seizures, coma, ...
Link: https://en.wikipedia.org/wiki/Malaria"
malaria,"Malaria! ... Malaria! was a German experimental electronic band from West Berlin, formed in 1981 by Gudrun Gut and Bettina Köster following the dissolution of ...
Link: https://en.wikipedia.org/wiki/Malaria!"
malaria,"Incidence and distribution of the disease (""malaria burden"") is expected to remain high, globally, for many years to come; moreover, known antimalarial drugs ...
Link: https://en.wikipedia.org/wiki/Antimalarial_medication"
malaria,"History of malaria ... The history of malaria extends from its prehistoric origin as a zoonotic disease in the primates of Africa through to the 21st century. A ...
Link: https://en.wikipedia.org/wiki/History_of_malaria"
